Task ID,Miss Count,[GPT-5](https://github.com/SWE-bench/experiments/tree/main/evaluation/verified/20251015_Prometheus_v1.2.1_gpt5),[Gemini 3](https://github.com/SWE-bench/experiments/tree/main/evaluation/verified/20251120_livesweagent_gemini-3-pro-preview),[Sonnet 4.5](https://github.com/SWE-bench/experiments/tree/main/evaluation/verified/20251103_sonar-foundation-agent_claude-sonnet-4-5),[Opus 4.5](https://github.com/SWE-bench/experiments/tree/main/evaluation/verified/20251215_livesweagent_claude-opus-4-5)
django__django-12325,3,Pass,Fail,Fail,Fail
psf__requests-1921,3,Fail,Fail,Fail,Pass
matplotlib__matplotlib-24870,3,Fail,Pass,Fail,Fail
django__django-15732,3,Pass,Fail,Fail,Fail
pydata__xarray-6938,3,Fail,Fail,Fail,Pass
pylint-dev__pylint-7080,3,Pass,Fail,Fail,Fail
pylint-dev__pylint-8898,3,Fail,Fail,Fail,Pass
django__django-12308,3,Fail,Pass,Fail,Fail
django__django-15127,3,Fail,Fail,Fail,Pass
django__django-14170,3,Fail,Pass,Fail,Fail
django__django-13794,3,Pass,Fail,Fail,Fail
sphinx-doc__sphinx-9229,3,Pass,Fail,Fail,Fail
sphinx-doc__sphinx-9461,3,Fail,Fail,Fail,Pass
django__django-13512,3,Fail,Pass,Fail,Fail
django__django-13195,3,Fail,Pass,Fail,Fail
django__django-15098,3,Fail,Fail,Pass,Fail
astropy__astropy-13033,3,Fail,Fail,Pass,Fail
django__django-13513,4,Fail,Fail,Fail,Fail
django__django-16263,4,Fail,Fail,Fail,Fail
